,CeX,DeX
unfi-busd,1,0
iota-usd,1,0
bhp-usdt,1,0
dot-usdt,1,0
aave-usdt,1,0
nmc-usdt,1,0
mx-usdt,1,0
dht-usdt,1,0
crv-usd,1,0
pha-usdt,1,1
storj-usd,1,0
sxp-busd,1,0
hnt-usdt,1,0
hegic-usdt,1,0
fund-usdt,1,0
sushi-usd,1,0
xtz-busd,1,0
link-usdt,1,1
bnb-usdc,1,0
tncc-usdt,1,0
plu-usd,1,0
wxt-usdt,1,0
fti-usdt,1,0
usdx-usdt,1,0
bel-usdt,1,0
lto-usdt,1,0
sushi-usdt,1,1
zec-usdt,1,0
doge-usdt,1,1
winx-usdt,1,0
win-usdt,1,0
tusd-usdc,1,1
bch-usdt,1,0
xmr-usdt,1,0
steem-usdt,1,0
uni-usdt,1,1
eth-usdc,1,0
ltc-usdc,1,0
etc-usdt,1,0
btc-usdc,1,0
ltc-usdt,1,0
jst-usdt,1,0
xrp-usdt,1,0
trx-usdt,1,0
snx-usdt,1,0
atom-usdt,1,0
dash-usdt,1,0
matic-usdt,1,1
mana-busd,1,0
node-usdt,1,0
srm-usdt,1,0
xtz-usdt,1,0
crv-usdt,1,1
xlm-usdt,1,0
btc-busd,1,0
sol-usdt,1,0
eos-usd,1,0
eos-usdt,1,0
sc-usdt,1,0
wbtc-usdt,1,1
busd-usdt,1,1
xem-usdt,1,0
senso-usdt,1,0
avax-usdt,1,0
bnb-usdt,1,0
pol-usdt,1,0
usdc-usdt,1,1
dai-usdt,1,1
yfi-usdt,1,0
weth-usdt,1,1
btc-usdt,1,0
hex-usdt,1,1
strong-usdt,1,1
sand-usdt,0,1
pols-usdt,1,1
cel-usdt,1,1
kp3r-usdt,1,1
bal-usdt,1,1
albt-usdt,0,1
gala-usdt,1,1
api3-usdt,1,1
1inch-usdt,1,1
comp-usdt,1,1
ersdl-usdt,1,1
xor-usdt,1,1
ren-usdt,1,1
bid-usdt,0,1
mkr-usdt,1,1
prq-usdt,1,1
mta-usdt,1,1
